image_id,avg_confidence,n_predictions,n_annotations,pred_anno_ratio
624,0.5485524954954956,111,75,1.48
627,0.6084195618556701,194,128,1.515625
631,0.5647342671755725,131,78,1.6794871794871795
645,0.648454990291262,103,53,1.9433962264150944
646,0.6217224696132597,181,92,1.9673913043478262
648,0.6178621655629138,151,64,2.359375
653,0.6264001428571431,14,8,1.75
654,0.5883104210526315,57,26,2.1923076923076925
655,0.5983028080808079,99,42,2.357142857142857
1177,0.5226441780821917,219,105,2.085714285714286
1180,0.5705969886363637,88,38,2.3157894736842106
1195,0.3785382352941177,51,14,3.642857142857143
1199,0.48401083139534884,172,75,2.2933333333333334
1203,0.5205253049645391,141,62,2.274193548387097
1455,0.4693914553072626,358,177,2.022598870056497
1460,0.4487505142857143,105,62,1.6935483870967742
1461,0.42220084444444445,135,70,1.9285714285714286
1469,0.46559674568965514,232,100,2.32
1471,0.5160676685714286,175,106,1.650943396226415
1479,0.48796311940298503,134,131,1.0229007633587786
1726,0.5812088160000001,250,88,2.840909090909091
2009,0.5541843913043478,69,43,1.6046511627906976
2010,0.47997259574468093,47,30,1.5666666666666667
2012,0.44600143749999993,48,23,2.0869565217391304
2014,0.4737995208333333,144,34,4.235294117647059
2021,0.5138671882845187,239,165,1.4484848484848485
2039,0.48752747457627116,118,93,1.2688172043010753
2302,0.4925559641025641,195,99,1.9696969696969697
2303,0.5157173191489361,141,52,2.7115384615384617
2304,0.4205667857142858,42,15,2.8
2305,0.4313302857142857,133,56,2.375
2306,0.43979979768786126,173,84,2.0595238095238093
2307,0.45914651933701667,181,85,2.1294117647058823
2309,0.4534053296703297,91,60,1.5166666666666666
2311,0.46853879562043804,137,63,2.1746031746031744
2316,0.45526756983240224,179,68,2.6323529411764706
2318,0.44958728571428563,147,54,2.7222222222222223
2319,0.5367071888888889,90,46,1.9565217391304348
2323,0.46658708000000004,25,23,1.0869565217391304
2324,0.4467544520547945,73,32,2.28125
2862,0.49220602766798416,253,92,2.75
2875,0.5205523140495868,121,46,2.630434782608696
2876,0.4634070279720279,143,111,1.2882882882882882
2879,0.5001623605015674,319,136,2.3455882352941178
3149,0.4395636055045872,109,41,2.658536585365854
3159,0.5748166014234874,281,173,1.6242774566473988
3161,0.5451327337110481,353,228,1.5482456140350878
3165,0.6188818554216868,166,102,1.6274509803921569
